subcategory_id,subcategory
subcat subcat 1,food trucks
subcat subcat 2,rock
subcat subcat 3,web
subcat subcat 4,plays
subcat subcat 5,documentary
subcat subcat 6,electric music
subcat subcat 7,drama
subcat subcat 8,indie rock
subcat subcat 9,wearables
subcat subcat 10,nonfiction
subcat subcat 11,animation
subcat subcat 12,video games
subcat subcat 13,shorts
subcat subcat 14,fiction
subcat subcat 15,photography books
subcat subcat 16,radio & podcasts
subcat subcat 17,metal
subcat subcat 18,jazz
subcat subcat 19,translations
subcat subcat 20,television
subcat subcat 21,mobile games
subcat subcat 22,world music
subcat subcat 23,science fiction
subcat subcat 24,audio
